text,arrayWords,arrayFeatures,arrayScaledFeatures
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“There’s more evidence to come yet, please your Majesty,” said the","[“there’s, more, evidence, to, come, yet,, please, your, majesty,”, said, the]","[66.0,11.0]","[0.7936691552609052,0.49254477466009]"
"White Rabbit, jumping up in a great hurry; “this paper has just been","[white, rabbit,, jumping, up, in, a, great, hurry;, “this, paper, has, just, been]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
picked up.”,"[picked, up.”]","[11.0,2.0]","[-1.0732010544421295,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“What’s in it?” said the Queen.,"[“what’s, in, it?”, said, the, queen.]","[31.0,6.0]","[-0.39433916000466246,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I haven’t opened it yet,” said the White Rabbit, “but it seems to be a","[“i, haven’t, opened, it, yet,”, said, the, white, rabbit,, “but, it, seems, to, be, a]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"letter, written by the prisoner to—to somebody.”","[letter,, written, by, the, prisoner, to—to, somebody.”]","[48.0,7.0]","[0.18269345026718467,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“It must have been that,” said the King, “unless it was written to","[“it, must, have, been, that,”, said, the, king,, “unless, it, was, written, to]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"nobody, which isn’t usual, you know.”","[nobody,, which, isn’t, usual,, you, know.”]","[37.0,6.0]","[-0.19068059167342227,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Who is it directed to?” said one of the jurymen.,"[“who, is, it, directed, to?”, said, one, of, the, jurymen.]","[49.0,10.0]","[0.21663654498905804,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“It isn’t directed at all,” said the White Rabbit; “in fact, there’s","[“it, isn’t, directed, at, all,”, said, the, white, rabbit;, “in, fact,, there’s]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"nothing written on the _outside_.” He unfolded the paper as he spoke,","[nothing, written, on, the, _outside_.”, he, unfolded, the, paper, as, he, spoke,]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
"and added “It isn’t a letter, after all: it’s a set of verses.”","[and, added, “it, isn’t, a, letter,, after, all:, it’s, a, set, of, verses.”]","[63.0,13.0]","[0.6918398710952851,0.8564860118892829]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Are they in the prisoner’s handwriting?” asked another of the jurymen.,"[“are, they, in, the, prisoner’s, handwriting?”, asked, another, of, the, jurymen.]","[71.0,11.0]","[0.963384628870272,0.49254477466009]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“No, they’re not,” said the White Rabbit, “and that’s the queerest","[“no,, they’re, not,”, said, the, white, rabbit,, “and, that’s, the, queerest]","[66.0,11.0]","[0.7936691552609052,0.49254477466009]"
thing about it.” (The jury all looked puzzled.),"[thing, about, it.”, (the, jury, all, looked, puzzled.)]","[47.0,8.0]","[0.14875035554531132,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“He must have imitated somebody else’s hand,” said the King. (The jury","[“he, must, have, imitated, somebody, else’s, hand,”, said, the, king., (the, jury]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
all brightened up again.),"[all, brightened, up, again.)]","[25.0,4.0]","[-0.5979977283359026,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Please your Majesty,” said the Knave, “I didn’t write it, and they","[“please, your, majesty,”, said, the, knave,, “i, didn’t, write, it,, and, they]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
can’t prove I did: there’s no name signed at the end.”,"[can’t, prove, i, did:, there’s, no, name, signed, at, the, end.”]","[54.0,11.0]","[0.38635201859842483,0.49254477466009]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“If you didn’t sign it,” said the King, “that only makes the matter","[“if, you, didn’t, sign, it,”, said, the, king,, “that, only, makes, the, matter]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"worse. You _must_ have meant some mischief, or else you’d have signed","[worse., you, _must_, have, meant, some, mischief,, or, else, you’d, have, signed]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
your name like an honest man.”,"[your, name, like, an, honest, man.”]","[30.0,6.0]","[-0.4282822547265358,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
There was a general clapping of hands at this: it was the first really,"[there, was, a, general, clapping, of, hands, at, this:, it, was, the, first, really]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
clever thing the King had said that day.,"[clever, thing, the, king, had, said, that, day.]","[40.0,8.0]","[-0.08885130750780221,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“That _proves_ his guilt,” said the Queen.","[“that, _proves_, his, guilt,”, said, the, queen.]","[42.0,7.0]","[-0.02096511806405548,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“It proves nothing of the sort!” said Alice. “Why, you don’t even know","[“it, proves, nothing, of, the, sort!”, said, alice., “why,, you, don’t, even, know]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
what they’re about!”,"[what, they’re, about!”]","[20.0,3.0]","[-0.7677132019452694,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Read them,” said the King.","[“read, them,”, said, the, king.]","[27.0,5.0]","[-0.5301115388921559,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The White Rabbit put on his spectacles. “Where shall I begin, please","[the, white, rabbit, put, on, his, spectacles., “where, shall, i, begin,, please]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
your Majesty?” he asked.,"[your, majesty?”, he, asked.]","[24.0,4.0]","[-0.631940823057776,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Begin at the beginning,” the King said gravely, “and go on till you","[“begin, at, the, beginning,”, the, king, said, gravely,, “and, go, on, till, you]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
come to the end: then stop.”,"[come, to, the, end:, then, stop.”]","[28.0,6.0]","[-0.4961684441702825,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
These were the verses the White Rabbit read:—,"[these, were, the, verses, the, white, rabbit, read:—]","[45.0,8.0]","[0.08086416610156459,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“They told me you had been to her,","[“they, told, me, you, had, been, to, her,]","[34.0,8.0]","[-0.29250987583904237,-0.053367081183699316]"
And mentioned me to him:,"[, , , , and, mentioned, me, to, him:]","[28.0,9.0]","[-0.4961684441702825,0.1286035374308971]"
"She gave me a good character,","[she, gave, me, a, good, character,]","[29.0,6.0]","[-0.46222534944840915,-0.4173083184128922]"
But said I could not swim.,"[, , , , but, said, i, could, not, swim.]","[30.0,10.0]","[-0.4282822547265358,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
He sent them word I had not gone,"[he, sent, them, word, i, had, not, gone]","[32.0,8.0]","[-0.36039606528278906,-0.053367081183699316]"
(We know it to be true):,"[, , , , (we, know, it, to, be, true):]","[28.0,10.0]","[-0.4961684441702825,0.31057415604549354]"
"If she should push the matter on,","[if, she, should, push, the, matter, on,]","[33.0,7.0]","[-0.3264529705609157,-0.23533769979829575]"
What would become of you?,"[, , , , what, would, become, of, you?]","[29.0,9.0]","[-0.46222534944840915,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"I gave her one, they gave him two,","[i, gave, her, one,, they, gave, him, two,]","[34.0,8.0]","[-0.29250987583904237,-0.053367081183699316]"
You gave us three or more;,"[, , , , you, gave, us, three, or, more;]","[30.0,10.0]","[-0.4282822547265358,0.31057415604549354]"
"They all returned from him to you,","[they, all, returned, from, him, to, you,]","[34.0,7.0]","[-0.29250987583904237,-0.23533769979829575]"
Though they were mine before.,"[, , , , though, they, were, mine, before.]","[33.0,9.0]","[-0.3264529705609157,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
If I or she should chance to be,"[if, i, or, she, should, chance, to, be]","[31.0,8.0]","[-0.39433916000466246,-0.053367081183699316]"
"Involved in this affair,","[, , , , involved, in, this, affair,]","[28.0,8.0]","[-0.4961684441702825,-0.053367081183699316]"
"He trusts to you to set them free,","[he, trusts, to, you, to, set, them, free,]","[34.0,8.0]","[-0.29250987583904237,-0.053367081183699316]"
Exactly as we were.,"[, , , , exactly, as, we, were.]","[23.0,8.0]","[-0.6658839177796493,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
My notion was that you had been,"[my, notion, was, that, you, had, been]","[31.0,7.0]","[-0.39433916000466246,-0.23533769979829575]"
(Before she had this fit),"[, , , , (before, she, had, this, fit)]","[29.0,9.0]","[-0.46222534944840915,0.1286035374308971]"
An obstacle that came between,"[an, obstacle, that, came, between]","[29.0,5.0]","[-0.46222534944840915,-0.5992789370274886]"
"Him, and ourselves, and it.","[, , , , him,, and, ourselves,, and, it.]","[31.0,9.0]","[-0.39433916000466246,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Don’t let him know she liked them best,","[don’t, let, him, know, she, liked, them, best,]","[39.0,8.0]","[-0.12279440222967557,-0.053367081183699316]"
For this must ever be,"[, , , , for, this, must, ever, be]","[25.0,9.0]","[-0.5979977283359026,0.1286035374308971]"
"A secret, kept from all the rest,","[a, secret,, kept, from, all, the, rest,]","[33.0,7.0]","[-0.3264529705609157,-0.23533769979829575]"
Between yourself and me.”,"[, , , , between, yourself, and, me.”]","[29.0,8.0]","[-0.46222534944840915,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“That’s the most important piece of evidence we’ve heard yet,” said the","[“that’s, the, most, important, piece, of, evidence, we’ve, heard, yet,”, said, the]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"King, rubbing his hands; “so now let the jury—”","[king,, rubbing, his, hands;, “so, now, let, the, jury—”]","[47.0,9.0]","[0.14875035554531132,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“If any one of them can explain it,” said Alice, (she had grown so","[“if, any, one, of, them, can, explain, it,”, said, alice,, (she, had, grown, so]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
large in the last few minutes that she wasn’t a bit afraid of,"[large, in, the, last, few, minutes, that, she, wasn’t, a, bit, afraid, of]","[61.0,13.0]","[0.6239536816515383,0.8564860118892829]"
"interrupting him,) “I’ll give him sixpence. _I_ don’t believe there’s","[interrupting, him,), “i’ll, give, him, sixpence., _i_, don’t, believe, there’s]","[69.0,10.0]","[0.8954984394265252,0.31057415604549354]"
an atom of meaning in it.”,"[an, atom, of, meaning, in, it.”]","[26.0,6.0]","[-0.5640546336140292,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The jury all wrote down on their slates, “_She_ doesn’t believe there’s","[the, jury, all, wrote, down, on, their, slates,, “_she_, doesn’t, believe, there’s]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"an atom of meaning in it,” but none of them attempted to explain the","[an, atom, of, meaning, in, it,”, but, none, of, them, attempted, to, explain, the]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
paper.,[paper.],"[6.0,1.0]","[-1.2429165280514964,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“If there’s no meaning in it,” said the King, “that saves a world of","[“if, there’s, no, meaning, in, it,”, said, the, king,, “that, saves, a, world, of]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"trouble, you know, as we needn’t try to find any. And yet I don’t","[trouble,, you, know,, as, we, needn’t, try, to, find, any., and, yet, i, don’t]","[65.0,14.0]","[0.7597260605390318,1.0384566305038794]"
"know,” he went on, spreading out the verses on his knee, and looking at","[know,”, he, went, on,, spreading, out, the, verses, on, his, knee,, and, looking, at]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"them with one eye; “I seem to see some meaning in them, after all.","[them, with, one, eye;, “i, seem, to, see, some, meaning, in, them,, after, all.]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"“—_said I could not swim_—” you can’t swim, can you?” he added, turning","[“—_said, i, could, not, swim_—”, you, can’t, swim,, can, you?”, he, added,, turning]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
to the Knave.,"[to, the, knave.]","[13.0,3.0]","[-1.005314864998383,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
The Knave shook his head sadly. “Do I look like it?” he said. (Which he,"[the, knave, shook, his, head, sadly., “do, i, look, like, it?”, he, said., (which, he]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"certainly did _not_, being made entirely of cardboard.)","[certainly, did, _not_,, being, made, entirely, of, cardboard.)]","[55.0,8.0]","[0.4202951133202982,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“All right, so far,” said the King, and he went on muttering over the","[“all, right,, so, far,”, said, the, king,, and, he, went, on, muttering, over, the]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"verses to himself: “‘_We know it to be true_—’ that’s the jury, of","[verses, to, himself:, “‘_we, know, it, to, be, true_—’, that’s, the, jury,, of]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"course—‘_I gave her one, they gave him two_—’ why, that must be what he","[course—‘_i, gave, her, one,, they, gave, him, two_—’, why,, that, must, be, what, he]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"did with the tarts, you know—”","[did, with, the, tarts,, you, know—”]","[30.0,6.0]","[-0.4282822547265358,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“But, it goes on ‘_they all returned from him to you_,’” said Alice.","[“but,, it, goes, on, ‘_they, all, returned, from, him, to, you_,’”, said, alice.]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Why, there they are!” said the King triumphantly, pointing to the","[“why,, there, they, are!”, said, the, king, triumphantly,, pointing, to, the]","[66.0,11.0]","[0.7936691552609052,0.49254477466009]"
tarts on the table. “Nothing can be clearer than _that_. Then,"[tarts, on, the, table., “nothing, can, be, clearer, than, _that_., then]","[61.0,11.0]","[0.6239536816515383,0.49254477466009]"
"again—‘_before she had this fit_—’ you never had fits, my dear, I","[again—‘_before, she, had, this, fit_—’, you, never, had, fits,, my, dear,, i]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
think?” he said to the Queen.,"[think?”, he, said, to, the, queen.]","[29.0,6.0]","[-0.46222534944840915,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Never!” said the Queen furiously, throwing an inkstand at the Lizard","[“never!”, said, the, queen, furiously,, throwing, an, inkstand, at, the, lizard]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
as she spoke. (The unfortunate little Bill had left off writing on his,"[as, she, spoke., (the, unfortunate, little, bill, had, left, off, writing, on, his]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"slate with one finger, as he found it made no mark; but he now hastily","[slate, with, one, finger,, as, he, found, it, made, no, mark;, but, he, now, hastily]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"began again, using the ink, that was trickling down his face, as long","[began, again,, using, the, ink,, that, was, trickling, down, his, face,, as, long]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
as it lasted.),"[as, it, lasted.)]","[14.0,3.0]","[-0.9713717702765096,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Then the words don’t _fit_ you,” said the King, looking round the","[“then, the, words, don’t, _fit_, you,”, said, the, king,, looking, round, the]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
court with a smile. There was a dead silence.,"[court, with, a, smile., there, was, a, dead, silence.]","[45.0,9.0]","[0.08086416610156459,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“It’s a pun!” the King added in an offended tone, and everybody","[“it’s, a, pun!”, the, king, added, in, an, offended, tone,, and, everybody]","[63.0,12.0]","[0.6918398710952851,0.6745153932746865]"
"laughed, “Let the jury consider their verdict,” the King said, for","[laughed,, “let, the, jury, consider, their, verdict,”, the, king, said,, for]","[66.0,11.0]","[0.7936691552609052,0.49254477466009]"
about the twentieth time that day.,"[about, the, twentieth, time, that, day.]","[34.0,6.0]","[-0.29250987583904237,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“No, no!” said the Queen. “Sentence first—verdict afterwards.”","[“no,, no!”, said, the, queen., “sentence, first—verdict, afterwards.”]","[62.0,8.0]","[0.6578967763734117,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Stuff and nonsense!” said Alice loudly. “The idea of having the,"[“stuff, and, nonsense!”, said, alice, loudly., “the, idea, of, having, the]","[64.0,11.0]","[0.7257829658171584,0.49254477466009]"
sentence first!”,"[sentence, first!”]","[16.0,2.0]","[-0.9034855808327629,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Hold your tongue!” said the Queen, turning purple.","[“hold, your, tongue!”, said, the, queen,, turning, purple.]","[51.0,8.0]","[0.28452273443280474,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“I won’t!” said Alice.,"[“i, won’t!”, said, alice.]","[22.0,4.0]","[-0.6998270125015227,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Off with her head!” the Queen shouted at the top of her voice. Nobody,"[“off, with, her, head!”, the, queen, shouted, at, the, top, of, her, voice., nobody]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
moved.,[moved.],"[6.0,1.0]","[-1.2429165280514964,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Who cares for you?” said Alice, (she had grown to her full size by","[“who, cares, for, you?”, said, alice,, (she, had, grown, to, her, full, size, by]","[67.0,14.0]","[0.8276122499827785,1.0384566305038794]"
this time.) “You’re nothing but a pack of cards!”,"[this, time.), “you’re, nothing, but, a, pack, of, cards!”]","[49.0,9.0]","[0.21663654498905804,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"At this the whole pack rose up into the air, and came flying down upon","[at, this, the, whole, pack, rose, up, into, the, air,, and, came, flying, down, upon]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"her: she gave a little scream, half of fright and half of anger, and","[her:, she, gave, a, little, scream,, half, of, fright, and, half, of, anger,, and]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"tried to beat them off, and found herself lying on the bank, with her","[tried, to, beat, them, off,, and, found, herself, lying, on, the, bank,, with, her]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"head in the lap of her sister, who was gently brushing away some dead","[head, in, the, lap, of, her, sister,, who, was, gently, brushing, away, some, dead]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
leaves that had fluttered down from the trees upon her face.,"[leaves, that, had, fluttered, down, from, the, trees, upon, her, face.]","[60.0,11.0]","[0.590010586929665,0.49254477466009]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Wake up, Alice dear!” said her sister; “Why, what a long sleep you’ve","[“wake, up,, alice, dear!”, said, her, sister;, “why,, what, a, long, sleep, you’ve]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
had!”,[had!”],"[5.0,1.0]","[-1.2768596227733697,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Oh, I’ve had such a curious dream!” said Alice, and she told her","[“oh,, i’ve, had, such, a, curious, dream!”, said, alice,, and, she, told, her]","[65.0,13.0]","[0.7597260605390318,0.8564860118892829]"
"sister, as well as she could remember them, all these strange","[sister,, as, well, as, she, could, remember, them,, all, these, strange]","[61.0,11.0]","[0.6239536816515383,0.49254477466009]"
Adventures of hers that you have just been reading about; and when she,"[adventures, of, hers, that, you, have, just, been, reading, about;, and, when, she]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"had finished, her sister kissed her, and said, “It _was_ a curious","[had, finished,, her, sister, kissed, her,, and, said,, “it, _was_, a, curious]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
"dream, dear, certainly: but now run in to your tea; it’s getting late.”","[dream,, dear,, certainly:, but, now, run, in, to, your, tea;, it’s, getting, late.”]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"So Alice got up and ran off, thinking while she ran, as well she might,","[so, alice, got, up, and, ran, off,, thinking, while, she, ran,, as, well, she, might,]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
what a wonderful dream it had been.,"[what, a, wonderful, dream, it, had, been.]","[35.0,7.0]","[-0.258566781117169,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"But her sister sat still just as she left her, leaning her head on her","[but, her, sister, sat, still, just, as, she, left, her,, leaning, her, head, on, her]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"hand, watching the setting sun, and thinking of little Alice and all","[hand,, watching, the, setting, sun,, and, thinking, of, little, alice, and, all]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"her wonderful Adventures, till she too began dreaming after a fashion,","[her, wonderful, adventures,, till, she, too, began, dreaming, after, a, fashion,]","[70.0,11.0]","[0.9294415341483986,0.49254477466009]"
and this was her dream:—,"[and, this, was, her, dream:—]","[24.0,5.0]","[-0.631940823057776,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"First, she dreamed of little Alice herself, and once again the tiny","[first,, she, dreamed, of, little, alice, herself,, and, once, again, the, tiny]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"hands were clasped upon her knee, and the bright eager eyes were","[hands, were, clasped, upon, her, knee,, and, the, bright, eager, eyes, were]","[64.0,12.0]","[0.7257829658171584,0.6745153932746865]"
"looking up into hers—she could hear the very tones of her voice, and","[looking, up, into, hers—she, could, hear, the, very, tones, of, her, voice,, and]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
see that queer little toss of her head to keep back the wandering hair,"[see, that, queer, little, toss, of, her, head, to, keep, back, the, wandering, hair]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"that _would_ always get into her eyes—and still as she listened, or","[that, _would_, always, get, into, her, eyes—and, still, as, she, listened,, or]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"seemed to listen, the whole place around her became alive with the","[seemed, to, listen,, the, whole, place, around, her, became, alive, with, the]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
strange creatures of her little sister’s dream.,"[strange, creatures, of, her, little, sister’s, dream.]","[47.0,7.0]","[0.14875035554531132,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
The long grass rustled at her feet as the White Rabbit hurried by—the,"[the, long, grass, rustled, at, her, feet, as, the, white, rabbit, hurried, by—the]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
frightened Mouse splashed his way through the neighbouring pool—she,"[frightened, mouse, splashed, his, way, through, the, neighbouring, pool—she]","[67.0,9.0]","[0.8276122499827785,0.1286035374308971]"
could hear the rattle of the teacups as the March Hare and his friends,"[could, hear, the, rattle, of, the, teacups, as, the, march, hare, and, his, friends]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"shared their never-ending meal, and the shrill voice of the Queen","[shared, their, never-ending, meal,, and, the, shrill, voice, of, the, queen]","[65.0,11.0]","[0.7597260605390318,0.49254477466009]"
ordering off her unfortunate guests to execution—once more the pig-baby,"[ordering, off, her, unfortunate, guests, to, execution—once, more, the, pig-baby]","[71.0,10.0]","[0.963384628870272,0.31057415604549354]"
"was sneezing on the Duchess’s knee, while plates and dishes crashed","[was, sneezing, on, the, duchess’s, knee,, while, plates, and, dishes, crashed]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
"around it—once more the shriek of the Gryphon, the squeaking of the","[around, it—once, more, the, shriek, of, the, gryphon,, the, squeaking, of, the]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"Lizard’s slate-pencil, and the choking of the suppressed guinea-pigs,","[lizard’s, slate-pencil,, and, the, choking, of, the, suppressed, guinea-pigs,]","[69.0,9.0]","[0.8954984394265252,0.1286035374308971]"
"filled the air, mixed up with the distant sobs of the miserable Mock","[filled, the, air,, mixed, up, with, the, distant, sobs, of, the, miserable, mock]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
Turtle.,[turtle.],"[7.0,1.0]","[-1.2089734333296231,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"So she sat on, with closed eyes, and half believed herself in","[so, she, sat, on,, with, closed, eyes,, and, half, believed, herself, in]","[61.0,12.0]","[0.6239536816515383,0.6745153932746865]"
"Wonderland, though she knew she had but to open them again, and all","[wonderland,, though, she, knew, she, had, but, to, open, them, again,, and, all]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
would change to dull reality—the grass would be only rustling in the,"[would, change, to, dull, reality—the, grass, would, be, only, rustling, in, the]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"wind, and the pool rippling to the waving of the reeds—the rattling","[wind,, and, the, pool, rippling, to, the, waving, of, the, reeds—the, rattling]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"teacups would change to tinkling sheep-bells, and the Queen’s shrill","[teacups, would, change, to, tinkling, sheep-bells,, and, the, queen’s, shrill]","[68.0,10.0]","[0.8615553447046519,0.31057415604549354]"
"cries to the voice of the shepherd boy—and the sneeze of the baby, the","[cries, to, the, voice, of, the, shepherd, boy—and, the, sneeze, of, the, baby,, the]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"shriek of the Gryphon, and all the other queer noises, would change","[shriek, of, the, gryphon,, and, all, the, other, queer, noises,, would, change]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
(she knew) to the confused clamour of the busy farm-yard—while the,"[(she, knew), to, the, confused, clamour, of, the, busy, farm-yard—while, the]","[66.0,11.0]","[0.7936691552609052,0.49254477466009]"
lowing of the cattle in the distance would take the place of the Mock,"[lowing, of, the, cattle, in, the, distance, would, take, the, place, of, the, mock]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
Turtle’s heavy sobs.,"[turtle’s, heavy, sobs.]","[20.0,3.0]","[-0.7677132019452694,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
